experiment,shape,closed,method,parameterization,n_points,noise_sigma,trial,avg_point_to_curve,chamfer,hausdorff,smoothness,runtime_sec
noise_robustness,circle,True,bspline_ls,chord,40,0.06,2,0.022459057374946533,0.09721659917683277,0.1636428528042818,0.0010226753257535658,0.000576599999476457
noise_robustness,circle,True,cubic_spline,chord,40,0.0,3,1.310302455961094e-05,0.0046828913379702,0.008565749650119667,0.0001580015173265933,0.003287100000306964
noise_robustness,circle,True,bspline_interp,chord,40,0.0,3,1.3103293905215388e-05,0.004682548046384294,0.008565749647182205,0.00015800135161103982,0.0010180000026593916
noise_robustness,circle,True,poly_ls,chord,40,0.0,3,0.0013112615153810323,0.006365829607611093,0.008412799077300167,0.0001632892021929922,0.001001100001303712
noise_robustness,circle,True,bspline_ls,chord,40,0.0,3,0.02028318311773904,0.05166838866292536,0.0735743427021393,0.00015565610827536255,0.00038719999793102033
noise_robustness,circle,True,cubic_spline,chord,40,0.01,3,0.00010674987446671364,0.02980550214310946,0.04957817861067021,0.0006931085465219054,0.002712599998631049
noise_robustness,circle,True,bspline_interp,chord,40,0.01,3,0.00027808526312893424,0.02963294615347451,0.049471179929156436,0.0005318943858562815,0.0012810999978682958
noise_robustness,circle,True,poly_ls,chord,40,0.01,3,0.007419662148807182,0.01035594851575344,0.016174738509664995,0.00019544283631245068,0.0006064000008336734
noise_robustness,circle,True,bspline_ls,chord,40,0.01,3,0.021374027372784606,0.05642745551828526,0.07588395100822644,0.00015530917003468537,0.00040640000224811956
noise_robustness,circle,True,cubic_spline,chord,40,0.02,3,0.00015392911959715019,0.04957926717531198,0.0792398106429896,0.0010845388805478294,0.002564800000982359
noise_robustness,circle,True,bspline_interp,chord,40,0.02,3,0.0005312359978262623,0.049885420054123324,0.0822598332754541,0.0009360728931344675,0.0006792000021960121
noise_robustness,circle,True,poly_ls,chord,40,0.02,3,0.01538088950974571,0.019506780880318347,0.03225914651819369,0.00024053856217567355,0.001147899998613866
noise_robustness,circle,True,bspline_ls,chord,40,0.02,3,0.022235399521419046,0.04937686735532014,0.06542589035880303,0.00015601922087560044,0.0004298999992897734
noise_robustness,circle,True,cubic_spline,chord,40,0.04,3,0.0002009942712030441,0.07302853917113512,0.11190104153570994,0.001533491205122299,0.0017719999996188562
noise_robustness,circle,True,bspline_interp,chord,40,0.04,3,0.0011060062446167766,0.0735279536600232,0.11190552688485816,0.0013937619527731257,0.0017528999997011852
