alpha,sample_index,t_sample,i_sample
0.37333333333333335,38,98.0,2.8223389536601257e-31
0.37333333333333335,39,99.0,1.521267770019592e-31
0.37333333333333335,40,100.0,2.5315884575359673e-27
0.37333333333333335,41,101.0,1.1232679098072407e-18
0.37333333333333335,42,102.0,1.1495738758094493e-05
0.37333333333333335,43,103.0,7.017568963299543e-14
0.37333333333333335,44,104.0,5.69030338187304e-23
0.37333333333333335,45,105.0,1.9002774721891284e-27
0.37333333333333335,46,106.0,2.2478979245812385e-27
0.37333333333333335,47,107.0,8.118669924642552e-23
0.37333333333333335,48,108.0,7.732533092908138e-14
0.37333333333333335,49,109.0,0.012546801530867917
0.37333333333333335,50,110.0,2.172571083099503e-17
0.37333333333333335,51,111.0,1.43943584378328e-27
0.37333333333333335,52,112.0,4.0697837833899776e-33
0.37333333333333335,53,113.0,4.221219766796515e-34
0.37333333333333335,54,114.0,1.3837193851583816e-30
0.37333333333333335,55,115.0,1.2375724903733838e-22
0.37333333333333335,56,116.0,2.6125784467613325e-10
0.37333333333333335,57,117.0,0.0035148358678984298
0.37333333333333335,58,118.0,1.9078428013531803e-13
0.37333333333333335,59,119.0,3.141508315719556e-19
0.37333333333333335,60,120.0,1.912280578279952e-20
0.3866666666666667,1,61.0,2.1235716166586787e-24
0.3866666666666667,2,62.0,3.7934047763505536e-28
0.3866666666666667,3,63.0,2.3439010717461256e-27
0.3866666666666667,4,64.0,4.319302192524823e-22
0.3866666666666667,5,65.0,2.051040380484674e-12
0.3866666666666667,6,66.0,0.0016308056972957974
0.3866666666666667,7,67.0,1.6195784361644118e-17
0.3866666666666667,8,68.0,7.50595510999421e-27
0.3866666666666667,9,69.0,1.4440710881639442e-31
0.3866666666666667,10,70.0,9.918503895319324e-32
0.3866666666666667,11,71.0,2.0960486687872725e-27
0.3866666666666667,12,72.0,1.1770269427239976e-18
0.3866666666666667,13,73.0,1.5192848541863483e-05
0.3866666666666667,14,74.0,3.073666909318952e-14
0.3866666666666667,15,75.0,1.1926809780186969e-23
0.3866666666666667,16,76.0,1.9260363866983756e-28
0.3866666666666667,17,77.0,1.1131617178266695e-28
0.3866666666666667,18,78.0,1.984325881270529e-24
0.3866666666666667,19,79.0,9.422063131923101e-16
0.3866666666666667,20,80.0,0.00794371160589522
0.3866666666666667,21,81.0,1.296819140356519e-16
0.3866666666666667,22,82.0,3.748882396611275e-27
0.3866666666666667,23,83.0,4.679437584508652e-33
0.3866666666666667,24,84.0,2.167752039117062e-34
0.3866666666666667,25,85.0,3.2102154436482523e-31
0.3866666666666667,26,86.0,1.3117957020212838e-23
0.3866666666666667,27,87.0,1.2793806327194954e-11
0.3866666666666667,28,88.0,0.00038125578938582563
0.3866666666666667,29,89.0,3.625073526469992e-15
0.3866666666666667,30,90.0,1.477588575965129e-21
0.3866666666666667,31,91.0,2.2709549832364637e-23
0.3866666666666667,32,92.0,1.1333626062216793e-20
