t,model,s,i,r,R0,beta,gamma,beta0,mu
7.347945205479452,demographic_sir,0.09866729473788657,9.303335831085956e-43,0.9013327052621163,15.0,,52.0,780.2142857142857,0.014285714285714285
7.35068493150685,demographic_sir,0.09870257125713854,9.962364278679658e-43,0.9012974287428643,15.0,,52.0,780.2142857142857,0.014285714285714285
7.353424657534247,demographic_sir,0.09873784639573183,1.0668881347606162e-42,0.9012621536042711,15.0,,52.0,780.2142857142857,0.014285714285714285
7.3561643835616435,demographic_sir,0.09877312015372047,1.1426365163057158e-42,0.9012268798462825,15.0,,52.0,780.2142857142857,0.014285714285714285
7.358904109589041,demographic_sir,0.09880839253115854,1.22385525864158e-42,0.9011916074688444,15.0,,52.0,780.2142857142857,0.014285714285714285
7.361643835616438,demographic_sir,0.09884366352810005,1.3109458751529855e-42,0.901156336471903,15.0,,52.0,780.2142857142857,0.014285714285714285
7.364383561643836,demographic_sir,0.09887893314459902,1.4043398097364179e-42,0.9011210668554039,15.0,,52.0,780.2142857142857,0.014285714285714285
7.367123287671233,demographic_sir,0.09891420138070947,1.504500701323242e-42,0.9010857986192935,15.0,,52.0,780.2142857142857,0.014285714285714285
7.36986301369863,demographic_sir,0.09894946823648545,1.6119268221957334e-42,0.9010505317635176,15.0,,52.0,780.2142857142857,0.014285714285714285
7.372602739726028,demographic_sir,0.09898473371198098,1.727153703618095e-42,0.901015266288022,15.0,,52.0,780.2142857142857,0.014285714285714285
7.375342465753425,demographic_sir,0.09901999780725007,1.8507569633707018e-42,0.9009800021927529,15.0,,52.0,780.2142857142857,0.014285714285714285
7.378082191780822,demographic_sir,0.09905526052234676,1.9833553509270738e-42,0.9009447394776562,15.0,,52.0,780.2142857142857,0.014285714285714285
7.380821917808219,demographic_sir,0.09909052185732503,2.1256140272562898e-42,0.9009094781426779,15.0,,52.0,780.2142857142857,0.014285714285714285
7.383561643835616,demographic_sir,0.09912578181223894,2.278248097576607e-42,0.900874218187764,15.0,,52.0,780.2142857142857,0.014285714285714285
7.3863013698630136,demographic_sir,0.09916104038714248,2.4420264168353163e-42,0.9008389596128605,15.0,,52.0,780.2142857142857,0.014285714285714285
7.389041095890411,demographic_sir,0.09919629758208966,2.617775689257969e-42,0.9008037024179133,15.0,,52.0,780.2142857142857,0.014285714285714285
7.391780821917808,demographic_sir,0.09923155339713449,2.8063848850006413e-42,0.9007684466028685,15.0,,52.0,780.2142857142857,0.014285714285714285
7.394520547945206,demographic_sir,0.09926680783233098,3.008809998767884e-42,0.900733192167672,15.0,,52.0,780.2142857142857,0.014285714285714285
7.397260273972603,demographic_sir,0.09930206088773313,3.2260791772336156e-42,0.9006979391122698,15.0,,52.0,780.2142857142857,0.014285714285714285
