t,beta_t,i_t,alpha,R0,beta0
45.07397260273973,989.4487034952816,9.474008368359365e-06,0.3,15.0,780.2142857142857
45.07671232876712,987.6117728360905,1.0876469154213178e-05,0.3,15.0,780.2142857142857
45.07945205479452,985.7133858254546,1.2481003347652406e-05,0.3,15.0,780.2142857142857
45.082191780821915,983.754104996422,1.4315623090447078e-05,0.3,15.0,780.2142857142857
45.084931506849315,981.7345109261868,1.6412017961120243e-05,0.3,15.0,780.2142857142857
45.087671232876716,979.6552020640584,1.880600096661943e-05,0.3,15.0,780.2142857142857
45.09041095890411,977.5167945541353,2.153800216296316e-05,0.3,15.0,780.2142857142857
45.09315068493151,975.3199220526989,2.4653613835380037e-05,0.3,15.0,780.2142857142857
45.0958904109589,973.0652355404984,2.8204191266899e-05,0.3,15.0,780.2142857142857
45.0986301369863,970.7534031297924,3.22475131692472e-05,0.3,15.0,780.2142857142857
45.1013698630137,968.3851098664253,3.6848505823411724e-05,0.3,15.0,780.2142857142857
45.104109589041094,965.9610575268109,4.20800348607036e-05,0.3,15.0,780.2142857142857
45.106849315068494,963.4819644099568,4.802376838276735e-05,0.3,15.0,780.2142857142857
45.10958904109589,960.9485651246731,5.4771114742706725e-05,0.3,15.0,780.2142857142857
45.11232876712329,958.3616103718264,6.242423775569017e-05,0.3,15.0,780.2142857142857
45.11506849315069,955.7218667219495,7.109715133384807e-05,0.3,15.0,780.2142857142857
45.11780821917808,953.030116388056,8.091689450317492e-05,0.3,15.0,780.2142857142857
45.12054794520548,950.2871569938627,9.202478640210789e-05,0.3,15.0,780.2142857142857
45.12328767123288,947.4938013374359,0.00010457775912181512,0.3,15.0,780.2142857142857
45.12602739726027,944.6508771503518,0.0001187497640566722,0.3,15.0,780.2142857142857
45.12876712328767,941.7592268523834,0.00013473324470801833,0.3,15.0,780.2142857142857
45.131506849315066,938.8197073019404,0.0001527406655383922,0.3,15.0,780.2142857142857
45.134246575342466,935.8331895420857,0.0001730060824124275,0.3,15.0,780.2142857142857
45.136986301369866,932.8005585424958,0.0001957867352764521,0.3,15.0,780.2142857142857
45.13972602739726,929.7227129371954,0.00022136463792376518,0.3,15.0,780.2142857142857
45.14246575342466,926.6005647582427,0.00025004813285264436,0.3,15.0,780.2142857142857
